morpho_taxon,source
bryozoans_hard_branching-bryozoans,coralnet
bryozoans_hard_encrusting-bryozoans,coralnet
bryozoans_hard_fenestrate-bryozoans,coralnet
bryozoans_hard_massive-bryozoans,coralnet
bryozoans_soft_dendroid-bryozoans,coralnet
bryozoans_soft_foliaceous-bryozoans,coralnet
hydrocorals_branching-stylasterids,coralnet
sponges_crust_creeping-porifera,coralnet
sponges_crust_encrusting-porifera,coralnet
sponges_cup_barrel-porifera,coralnet
sponges_cup_cup_complete-porifera,coralnet
sponges_cup_cup_disc-porifera,coralnet
sponges_cup_tube_chimney-porifera,coralnet
sponges_erect_1d-porifera,coralnet
sponges_erect_2d-porifera,coralnet
sponges_erect_3d-porifera,coralnet
sponges_erect_stalked-porifera,coralnet
sponges_massive_cryptic-porifera,coralnet
sponges_massive_globular-porifera,coralnet
sponges_massive_simple-porifera,coralnet
urchin_regular_pencil-cidaroida,biigle254
polychaete-serpulidae,biigle254
brachiopods-brachiopoda,biigle839
basket_snake_stars-euryalida,biigle254
barnacles-bathylasmatidae,biigle839
antarctic_scallop-antarctic_scallop,biigle839
octocorals_bottle_brush_complex-gorgonacea,biigle839
octocorals_bottle_brush_simple-antipatharia,biigle839
octocorals_bottle_brush_simple-gorgonacea,biigle839
octocorals_branching_arborescent-gorgonacea,biigle839
octocorals_branching_bushy-gorgonacea,biigle839
hydroids_colonial_feather-hydroidolina,biigle839
octocorals_fleshy_arborescent-alcyonacea,biigle839
octocorals_fleshy_mushroom-alcyonacea,biigle839
octocorals_quill-pennatulacea,biigle839
octocorals_seafan_flexible-gorgonacea,biigle839
anemones_solitary-actiniaria,biigle839
hydroids_solitary-hydroidolina,biigle839
stony_corals_solitary-scleractinia,biigle839
octocorals_whip-gorgonacea,biigle839
octocorals_whip-pennatulacea,biigle839
octocorals_whip_simple_umbellula-pennatulacea,biigle839
anemones_colonial-zoantharia,biigle839
octocorals_bottle_brush_complex-antipatharia,biigle839
crinoid_stalked-crinoid_stalked,biigle254
octocorals_whip-alcyonacea,biigle839
anemones_colonial-corallimorpharia,biigle839
octocorals_seafan_fern_simple-antipatharia,biigle839
octocorals_branching_bushy-antipatharia,biigle839
octocorals_seafan_fern_complex-antipatharia,biigle839
